date,key_rate,us_rate,inflation,region,avg_rate,weight_avg_rate,price,index,income
2019-01-01,7.75,67.08,5.0,Алтайский край,9.87,9.87,44653.65,107.72,20502.22
2019-01-01,7.75,69.47,5.0,Сахалинская область,9.82,9.82,104951.18,129.42,54127.73
2019-01-01,7.75,69.47,5.0,Свердловская область,9.86,9.86,63200.01,105.06,33777.48
2019-01-01,7.75,69.47,5.0,Севастополь,10.49,10.49,65765.9,115.12,21086.93
2019-01-01,7.75,69.47,5.0,Смоленская область,9.9,9.9,40099.94,104.22,24548.67
2019-01-01,7.75,69.47,5.0,Ставропольский край,9.89,9.89,38265.51,114.53,20270.97
2019-01-01,7.75,69.47,5.0,Тамбовская область,9.87,9.87,36974.03,105.6,23620.63
2019-01-01,7.75,69.47,5.0,Татарстан,9.85,9.85,64170.01,106.68,30620.32
2019-01-01,7.75,69.47,5.0,Тверская область,9.88,9.88,45524.83,101.66,24493.05
2019-01-01,7.75,69.47,5.0,Томская область,9.78,9.78,50769.15,108.92,26585.94
2019-01-01,7.75,69.47,5.0,Тульская область,9.83,9.83,52977.48,111.2,24173.46
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,53231.26,104.18,45383.84
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,53231.26,104.18,28437.1
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,53231.26,104.82,45383.84
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,53231.26,104.82,28437.1
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,52706.0,104.18,45383.84
2019-01-01,7.75,69.47,5.0,Саратовская область,9.88,9.88,38816.62,103.78,19152.33
2019-01-01,7.75,69.47,5.0,Санкт-Петербург,9.89,9.89,112767.52,105.13,39381.3
2019-01-01,7.75,69.47,5.0,Самарская область,9.9,9.9,45603.5,105.68,26432.39
2019-01-01,7.75,69.47,5.0,СФО,9.89,9.89,49562.47,107.21,24044.23
2019-01-01,7.75,67.08,5.0,Республика Дагестан,10.09,10.09,34175.9,101.29,21367.52
2019-01-01,7.75,67.08,5.0,Республика Ингушетия,9.67,9.67,39857.09,97.88,13663.79
2019-01-01,7.75,67.08,5.0,Республика Калмыкия,9.87,9.87,28930.79,102.59,15143.05
2019-01-01,7.75,67.08,5.0,Республика Карелия,9.8,9.8,51598.15,105.38,29877.74
2019-01-01,7.75,67.08,5.0,Республика Коми,9.77,9.77,47270.03,100.77,32427.77
2019-01-01,7.75,67.08,5.0,Республика Крым,10.63,10.63,62382.43,113.36,18879.01
2019-01-01,7.75,67.08,5.0,Республика Мордовия,9.75,9.75,41299.22,99.95,17688.32
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,52706.0,104.18,28437.1
2019-01-01,7.75,67.08,5.0,Республика Саха (Якутия),9.81,9.81,77117.55,112.08,36769.66
2019-01-01,7.75,67.08,5.0,Республика Тыва,10.05,10.05,34328.86,100.0,13082.58
2019-01-01,7.75,67.08,5.0,Республика Хакасия,9.89,9.89,42694.33,104.1,20980.64
2019-01-01,7.75,69.47,5.0,Россия,9.88,9.88,60705.14,106.96,30074.81
2019-01-01,7.75,69.47,5.0,Ростовская область,9.83,9.83,51236.66,104.6,25029.65
2019-01-01,7.75,69.47,5.0,Рязанская область,9.88,9.88,41316.96,106.09,21948.0
2019-01-01,7.75,69.47,5.0,СЗФО,9.87,9.87,83324.16,104.96,33274.65
2019-01-01,7.75,69.47,5.0,СКФО,9.94,9.94,36568.85,108.04,19902.97
2019-01-01,7.75,67.08,5.0,Республика Северная Осетия,9.77,9.77,34328.86,97.67,19695.75
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,52706.0,104.82,45383.84
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,9.81,52706.0,104.82,28437.1
2019-01-01,7.75,69.47,5.0,Тюменская область,9.81,8.13,53231.26,104.18,45383.84
2019-01-01,7.75,69.47,5.0,Тюменская область,8.13,8.13,52706.0,104.18,28437.1
2019-01-01,7.75,69.47,5.0,Тюменская область,8.13,8.13,52706.0,104.82,45383.84
2019-01-01,7.75,69.47,5.0,Тюменская область,8.13,8.13,52706.0,104.82,28437.1
2019-01-01,7.75,69.47,5.0,УФО,9.86,9.86,55576.0,106.13,33264.48
2019-01-01,7.75,69.47,5.0,Удмуртская Республика,9.84,9.84,48834.35,105.97,22074.99
